Trip ID,Haul #,Tag #,PSID,Bycaught Date,Necropsy Date,Species,Stat Area,Fishery,Length,Disp,Notes,
P53033C,1,DOA0065,1,10/20/17,,HG,521,100,145,11,,
F91008L,1,8537,1,04/21/07,,HG,526,100,132,,,
,,DO8630,,08/08/04,,HG,,,,,,
,,DO9500,,,,HG,,,,,,
D59035C,2,DO5776,2,07/21/07,,HG,521,100,114,,,
,,DO6462,,,,HG,,,,,,
H17001C,2,DO8277,2,10/15/08,,HG,521,100,160,,,
9001L,5,DO3939,1,03/12/07,,HG,521,100,99,,,
D30012L,5,DO8205,1,04/21/07,,HG,537,100,94,1,,
R47007L,4,DO5938,2,05/04/19,,HG,537,100,,,,
M10010,4,DO9942,6,03/18/14,,HG,537,,122,,,
M10010,4,DO9941,7,03/18/14,,HG,537,,105,,,
E11036C,1,DO8364,1,07/31/07,,HG,521,100 (gillnet),138,,,
P53023C,10,DOA1057,5,08/09/17,,HG,512,100,167,11,,
M10010,4,DO9940,8,03/18/14,,HG,537,,115,,,
J88012L,2,DO9922,4,03/24/13,,HG,537,100,91,11,,
J20010,2,DO8848,,04/17/13,,HG,,,,,,
M43004C,4,DO9661,1,02/12/14,,HG,613,100,135,11,no seal skin: worms,
M59002,6,DO9844,3,04/19/14,,HG,537,,126.7,11,,
J88012L,2,DO9928,3,03/24/13,,HG,537,100,117,7,,
J88012L,6,,,03/29/11,,HG,537,100,99,7,,
J2201215L,4,DO8836,5,04/10/13,,HG,537,100,,,,
L31070C,5,DO9077,1,12/08/12,,HG,612,100,112,25,,
L68022-,11,DO9194,1,06/07/13,,HG,537,,116,25,,
M45005L,2,DO9355,1,02/12/14,,HG,,,,1,,
M41014L,3,DO9363,4,04/22/14,,HG,537,100,115,1,,
M41014L,5,DO9304,6,04/22/14,,HG,537,100,113,1,,
,,DO7672,,04/13/13,,HG,537,gillnet,,,,
M41014L,5,DO7461,7,04/22/14,,HG,537,100,122,1,,
P53004L,1,DOA0067,1,02/18,,HG,514,,110,11,,
L74003,2,DO7726,2,04/04/14,,HG,526,100,118,,,
